Time,WT_a,WT_s,dpocR_a,dpocR_s,dAJ_a,dAJ_s,dN_a,dN_s,dB_a,dB_s
0,0.0632,0.008360574,0.05688,0.008360574,0.052666667,0.009122134,0.068466667,0.009122134,0.067413333,0.014249229
3,0.156946667,0.00482698,0.13904,0.00316,0.13904,0.00316,0.1422,0.00632,0.14852,0.011393542
6,0.269653333,0.014249229,0.14852,0.005473281,0.351813333,0.013156129,0.282293333,0.006578065,0.27176,0.010946561
9,0.5846,0.036442898,0.159053333,0.001824427,0.823706667,0.020560246,0.69204,0.074310408,0.659386667,0.01558791
12,1.780133333,0.116463614,0.153786667,0.00482698,1.506266667,0.059817835,1.795933333,0.096539595,2.127733333,0.06385494
15,2.343666667,0.06385494,0.156946667,0.00482698,1.5326,0.0316,2.3542,0.041802871,3.502333333,0.091221343
18,2.822933333,0.150169282,0.15484,0.00316,1.616866667,0.071246146,2.870333333,0.170415531,4.2028,0.083605741
21,3.2232,0.201720896,0.162213333,0.006578065,1.896,0.140433472,3.4128,0.166463329,4.982266667,0.036488537
24,3.755133333,0.13804294,0.162213333,0.007297707,2.454266667,0.22363187,3.923666667,0.126728739,5.493133333,0.065780646
27,4.0132,0.261058844,0.158,0.00316,2.965133333,0.188499584,4.539866667,0.245959536,5.803866667,0.050789894
30,4.397666667,0.25197574,0.16116,0.00632,3.454933333,0.184483748,4.745266667,0.164451614,5.7354,0.098670968
33,4.8032,0.182214489,0.16432,0.00316,4.0448,0.232748534,5.129733333,0.095237878,5.609,0.0632
36,5.129733333,0.149335774,0.159053333,0.00482698,4.323933333,0.21334876,5.140266667,0.065780646,5.614266667,0.065780646
39,5.235066667,0.209809088,0.158,0,4.6926,0.191564819,5.0086,0.0316,5.572133333,0.048269797
42,5.129733333,0.105201584,0.166426667,0.009653959,4.7242,0.182214489,4.950666667,0.065780646,5.556333333,0.146806857
48,5.056,0.079,0.163266667,0.007952492,4.892733333,0.081079303,4.713666667,0.122725765,5.472066667,0.071246146
